time,site_id,date_begin,date_end,agg_level,cluster_key,round,epoch,loss
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,74,0.0023463075049221516
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,75,0.0023533455096185207
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,76,0.002321576466783881
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,77,0.002305277856066823
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,78,0.0022958663757890463
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,79,0.0023076196666806936
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,80,0.002286413451656699
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,81,0.0022784057073295116
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,82,0.002264653332531452
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,83,0.0022421441972255707
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,84,0.0022461609914898872
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,85,0.0022320011630654335
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,86,0.002217225031927228
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,87,0.002212921157479286
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,88,0.0022173551842570305
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,89,0.002199898473918438
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,90,0.002189581748098135
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,91,0.0022000682074576616
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,92,0.002190645784139633
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,93,0.002177885500714183
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,94,0.0021590953692793846
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,95,0.002144135069102049
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,96,0.0021424675360322
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,97,0.0021423185244202614
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,98,0.002133406465873122
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,99,0.0021334122866392136
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,100,0.002118491567671299
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,101,0.002135316375643015
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,102,0.002119516022503376
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,103,0.002125730039551854
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,104,0.002088489942252636
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,105,0.002108786953613162
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,106,0.0020965789444744587
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,107,0.002095320960506797
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,108,0.0021259207278490067
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,109,0.0020971873309463263
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,110,0.002067732624709606
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,111,0.0020625831093639135
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,112,0.0020767594687640667
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,113,0.002049827016890049
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,114,0.0020542084239423275
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,115,0.0020599395502358675
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,116,0.0020582994911819696
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,117,0.0020759436301887035
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,118,0.002037616213783622
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,119,0.0020601169671863317
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,120,0.002027962589636445
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,121,0.002027504611760378
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,122,0.002017815364524722
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,123,0.0020047836005687714
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,124,0.0020271597895771265
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,125,0.002056170953437686
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,126,0.0020001023076474667
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,127,0.0020164973102509975
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,128,0.0020034455228596926
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,129,0.0020041714888066053
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,130,0.0020484302658587694
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,131,0.0020112483762204647
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,132,0.001995380502194166
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,133,0.0019830171950161457
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,134,0.0019976983312517405
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,135,0.002007826464250684
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,136,0.001973263919353485
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,137,0.0019806185737252235
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,138,0.001977701671421528
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,139,0.001980709843337536
